latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-13.2051,143.1472,337.2,1.0,1.0,2020-01-01,50,Terra,MODIS,87,6.03,298.0,27.9,D,0
-14.4737,143.5811,351.4,1.0,1.0,2020-01-01,51,Terra,MODIS,95,6.03,300.4,55.8,D,0
-14.4828,143.5797,321.6,1.0,1.0,2020-01-01,51,Terra,MODIS,58,6.03,299.8,8.0,D,0
-14.7204,143.7693,343.0,1.0,1.0,2020-01-01,51,Terra,MODIS,89,6.03,300.4,35.5,D,0
-16.0143,145.1106,322.1,1.2,1.1,2020-01-01,51,Terra,MODIS,56,6.03,302.6,11.5,D,0
-16.3587,137.678,327.2,1.5,1.2,2020-01-01,51,Terra,MODIS,20,6.03,298.4,20.3,D,0
-16.3611,137.692,335.8,1.5,1.2,2020-01-01,51,Terra,MODIS,77,6.03,299.6,40.8,D,0
-16.0158,145.1221,331.8,1.2,1.1,2020-01-01,51,Terra,MODIS,80,6.03,303.8,26.9,D,0
-16.3635,137.7061,329.5,1.5,1.2,2020-01-01,51,Terra,MODIS,52,6.03,297.7,29.1,D,0
-15.1179,141.7025,331.8,1.0,1.0,2020-01-01,51,Terra,MODIS,38,6.03,310.2,14.5,D,0
-16.0173,145.1335,328.0,1.2,1.1,2020-01-01,51,Terra,MODIS,74,6.03,303.3,20.3,D,0
-15.5728,141.5419,333.3,1.0,1.0,2020-01-01,51,Terra,MODIS,47,6.03,307.7,14.0,D,0
-14.7123,143.7672,337.5,1.0,1.0,2020-01-01,51,Terra,MODIS,85,6.03,300.5,25.2,D,0
-15.1284,141.7104,334.2,1.0,1.0,2020-01-01,51,Terra,MODIS,61,6.03,312.0,17.4,D,0
-15.95,143.419,328.1,1.0,1.0,2020-01-01,51,Terra,MODIS,65,6.03,306.1,10.4,D,0
-15.9569,143.4116,338.8,1.0,1.0,2020-01-01,51,Terra,MODIS,85,6.03,305.0,25.9,D,0
-15.1374,141.709,334.4,1.0,1.0,2020-01-01,51,Terra,MODIS,31,6.03,311.2,15.4,D,0
-14.8509,134.2768,325.9,2.9,1.6,2020-01-01,51,Terra,MODIS,72,6.03,297.3,36.5,D,0
-14.8556,134.3031,325.8,2.9,1.6,2020-01-01,51,Terra,MODIS,71,6.03,296.4,37.3,D,0
-14.475,143.5905,321.7,1.0,1.0,2020-01-01,51,Terra,MODIS,57,6.03,299.0,7.6,D,0
-14.7137,143.7768,329.5,1.0,1.0,2020-01-01,51,Terra,MODIS,69,6.03,299.9,12.7,D,0
